"Label","Score","Symbol","TF","Strategy","RunId","Reason"
"bb-squeeze/EURUSD/H1",,"EURUSD","H1","bb-squeeze","79b368a5","trades=1 below floor 20 (D3)"
"ema-alignment/EURUSD/H1",,"EURUSD","H1","ema-alignment","79b368a5","trades=0 below floor 20 (D3)"
"macd-momentum/EURUSD/H1",,"EURUSD","H1","macd-momentum","79b368a5","trades=0 below floor 20 (D3)"
"mean-reversion/EURUSD/H1",,"EURUSD","H1","mean-reversion","79b368a5","trades=0 below floor 20 (D3)"
"mtf-trend/EURUSD/H1",,"EURUSD","H1","mtf-trend","79b368a5","trades=0 below floor 20 (D3)"
"rsi-divergence/EURUSD/H1",,"EURUSD","H1","rsi-divergence","79b368a5","trades=0 below floor 20 (D3)"
"session-breakout/EURUSD/H1",,"EURUSD","H1","session-breakout","79b368a5","trades=3 below floor 20 (D3)"
"super-trend/EURUSD/H1",,"EURUSD","H1","super-trend","79b368a5","trades=2 below floor 20 (D3)"
"trend-breakout/EURUSD/H1",,"EURUSD","H1","trend-breakout","79b368a5","trades=1 below floor 20 (D3)"
"bb-squeeze/GBPUSD/H1",,"GBPUSD","H1","bb-squeeze","b95b2cfe","trades=7 below floor 20 (D3)"
"ema-alignment/GBPUSD/H1",,"GBPUSD","H1","ema-alignment","b95b2cfe","trades=0 below floor 20 (D3)"
"macd-momentum/GBPUSD/H1",,"GBPUSD","H1","macd-momentum","b95b2cfe","trades=0 below floor 20 (D3)"
"mean-reversion/GBPUSD/H1",,"GBPUSD","H1","mean-reversion","b95b2cfe","trades=1 below floor 20 (D3)"
"mtf-trend/GBPUSD/H1",,"GBPUSD","H1","mtf-trend","b95b2cfe","trades=0 below floor 20 (D3)"
"rsi-divergence/GBPUSD/H1",,"GBPUSD","H1","rsi-divergence","b95b2cfe","trades=3 below floor 20 (D3)"
"session-breakout/GBPUSD/H1",,"GBPUSD","H1","session-breakout","b95b2cfe","trades=6 below floor 20 (D3)"
"super-trend/GBPUSD/H1",,"GBPUSD","H1","super-trend","b95b2cfe","trades=3 below floor 20 (D3)"
"trend-breakout/GBPUSD/H1",,"GBPUSD","H1","trend-breakout","b95b2cfe","trades=8 below floor 20 (D3)"
"bb-squeeze/USDJPY/H1",,"USDJPY","H1","bb-squeeze","8a1f1840","trades=12 below floor 20 (D3)"
"ema-alignment/USDJPY/H1",,"USDJPY","H1","ema-alignment","8a1f1840","trades=0 below floor 20 (D3)"
"macd-momentum/USDJPY/H1",,"USDJPY","H1","macd-momentum","8a1f1840","trades=1 below floor 20 (D3)"
"mean-reversion/USDJPY/H1",,"USDJPY","H1","mean-reversion","8a1f1840","trades=1 below floor 20 (D3)"
"mtf-trend/USDJPY/H1",,"USDJPY","H1","mtf-trend","8a1f1840","trades=4 below floor 20 (D3)"
"rsi-divergence/USDJPY/H1",,"USDJPY","H1","rsi-divergence","8a1f1840","trades=3 below floor 20 (D3)"
"session-breakout/USDJPY/H1",,"USDJPY","H1","session-breakout","8a1f1840","trades=2 below floor 20 (D3)"
"super-trend/USDJPY/H1",,"USDJPY","H1","super-trend","8a1f1840","trades=3 below floor 20 (D3)"
"trend-breakout/USDJPY/H1",,"USDJPY","H1","trend-breakout","8a1f1840","trades=10 below floor 20 (D3)"
